Headword,Greek ,Part of Speech,English
φοβέομαι,"φοβέομαι, φοβήσομαι, ἐφοβήθην",verb,I fear
φόβος,"φόβος, φόβου, ὁ",,fear
φονεύω,φονεύω,verb,"I murder, kill"
φύλαξ,"φύλαξ, φύλακος, ὁ",,guard
φυλάσσω,φυλάσσω,verb,I guard
φωνή,"φωνή, φωνῆς, ἡ",,voice
χαλεπός,"χαλεπός, χαλεπή, χαλεπόν",,difficult
χειμών,"χειμών, χειμῶνος, ὁ",,"storm, winter"
χείρ,"χείρ, χειρός, ἡ",,hand
χράομαι,"χράομαι, χρήσομαι, ἐχρησάμην",verb,"(+ dat.) I use, treat"
χρή,χρή,,(with acc. and infin.) it is necessary
χρήματα,"χρήματα, χρημάτων, τά",,"money, goods, property"
χρήσιμος,"χρήσιμος, χρησίμη, χρήσιμον",,useful
χρόνος,"χρόνος, χρόνου, ὁ",,time
χρυσός,"χρυσός, χρυσοῦ, ὁ",,gold
χώρα,"χώρα, χώρας, ἡ",,"country, land"
ὦ,ὦ,,o... (addressing someone)
ὡς,ὡς,,"when, as, because"
ὡς τάχιστα,ὡς τάχιστα,,(or other superlative) as quickly (etc) as possible
ὥστε,ὥστε,,"that, so that, with the result that"
